order	chromosome	type	start	end	strand	ID	accession_number	Name_hsaV2	Name	derives_from
84_	chr1	miRNA	24255611.0	24255630.0	+	MIMAT0018932	MIMAT0018932	hsa-miR-378f-3p	hsa-miR-378f	MI0016756
85_	chr1	miRNA_primary_transcript	25245836.0	25245907.0	-	MI0022576	MI0022576	hsa-mir-6731	hsa-mir-6731	na
86_	chr1	miRNA	25245881.0	25245902.0	-	MIMAT0027363	MIMAT0027363	hsa-miR-6731-5p	hsa-miR-6731-5p	MI0022576
87_	chr1	miRNA	25245836.0	25245856.0	-	MIMAT0027364	MIMAT0027364	hsa-miR-6731-3p	hsa-miR-6731-3p	MI0022576
88_	chr1	miRNA_primary_transcript	25349994.0	25350077.0	+	MI0016764	MI0016764	hsa-mir-4425	hsa-mir-4425	na
89_	chr1	miRNA	25350043.0	25350064.0	+	MIMAT0018940	MIMAT0018940	hsa-miR-4425-3p	hsa-miR-4425	MI0016764
90_	chr1	miRNA_primary_transcript	26232853.0	26232945.0	-	MI0016423	MI0016423	hsa-mir-3917	hsa-mir-3917	na
91_	chr1	miRNA	26232875.0	26232894.0	-	MIMAT0018191	MIMAT0018191	hsa-miR-3917-3p	hsa-miR-3917	MI0016423
92_	chr1	miRNA_primary_transcript	26881033.0	26881084.0	+	MI0009986	MI0009986	hsa-mir-1976	hsa-mir-1976	na
93_	chr1	miRNA	26881065.0	26881084.0	+	MIMAT0009451	MIMAT0009451	hsa-miR-1976-3p	hsa-miR-1976	MI0009986
94_	chr1	miRNA_primary_transcript	31212003.0	31212079.0	-	MI0016757	MI0016757	hsa-mir-4420	hsa-mir-4420	na
95_	chr1	miRNA	31212005.0	31212026.0	-	MIMAT0018933	MIMAT0018933	hsa-miR-4420-3p	hsa-miR-4420	MI0016757
96_	chr1	miRNA_primary_transcript	32224261.0	32224336.0	-	MI0015862	MI0015862	hsa-mir-4254	hsa-mir-4254	na
97_	chr1	miRNA	32224271.0	32224293.0	-	MIMAT0016884	MIMAT0016884	hsa-miR-4254-3p	hsa-miR-4254	MI0015862
98_	chr1	miRNA_primary_transcript	32552550.0	32552608.0	+	MI0019142	MI0019142	hsa-mir-5585	hsa-mir-5585	na
99_	chr1	miRNA	32552550.0	32552571.0	+	MIMAT0022285	MIMAT0022285	hsa-miR-5585-5p	hsa-miR-5585-5p	MI0019142
100_	chr1	miRNA	32552587.0	32552608.0	+	MIMAT0022286	MIMAT0022286	hsa-miR-5585-3p	hsa-miR-5585-3p	MI0019142
101_	chr1	miRNA_primary_transcript	33797994.0	33798093.0	-	MI0015995	MI0015995	hsa-mir-3605	hsa-mir-3605	na
102_	chr1	miRNA	33798050.0	33798072.0	-	MIMAT0017981	MIMAT0017981	hsa-miR-3605-5p	hsa-miR-3605-5p	MI0015995
103_	chr1	miRNA	33798006.0	33798028.0	-	MIMAT0017982	MIMAT0017982	hsa-miR-3605-3p	hsa-miR-3605-3p	MI0015995
104_	chr1	miRNA_primary_transcript	35135200.0	35135295.0	-	MI0003557	MI0003557	hsa-mir-552	hsa-mir-552	na
105_	chr1	miRNA	35135215.0	35135235.0	-	MIMAT0003215	MIMAT0003215	hsa-miR-552-3p	hsa-miR-552-3p	MI0003557
106_	chr1	miRNA	35135251.0	35135271.0	-	MIMAT0026615	MIMAT0026615	hsa-miR-552-5p	hsa-miR-552-5p	MI0003557
107_	chr1	miRNA_primary_transcript	37627164.0	37627235.0	+	MI0015863	MI0015863	hsa-mir-4255	hsa-mir-4255	na
108_	chr1	miRNA	37627174.0	37627190.0	+	MIMAT0016885	MIMAT0016885	hsa-miR-4255-5p	hsa-miR-4255	MI0015863
109_	chr1	miRNA_primary_transcript	37945831.0	37945890.0	+	MI0022577	MI0022577	hsa-mir-6732	hsa-mir-6732	na
110_	chr1	miRNA	37945836.0	37945855.0	+	MIMAT0027365	MIMAT0027365	hsa-miR-6732-5p	hsa-miR-6732-5p	MI0022577
111_	chr1	miRNA	37945868.0	37945890.0	+	MIMAT0027366	MIMAT0027366	hsa-miR-6732-3p	hsa-miR-6732-3p	MI0022577
112_	chr1	miRNA_primary_transcript	37966536.0	37966595.0	-	MI0019136	MI0019136	hsa-mir-5581	hsa-mir-5581	na
113_	chr1	miRNA	37966574.0	37966595.0	-	MIMAT0022275	MIMAT0022275	hsa-miR-5581-5p	hsa-miR-5581-5p	MI0019136
114_	chr1	miRNA	37966536.0	37966557.0	-	MIMAT0022276	MIMAT0022276	hsa-miR-5581-3p	hsa-miR-5581-3p	MI0019136
115_	chr1	miRNA_primary_transcript	38554903.0	38555001.0	+	MI0016060	MI0016060	hsa-mir-3659	hsa-mir-3659	na
116_	chr1	miRNA	38554961.0	38554981.0	+	MIMAT0018080	MIMAT0018080	hsa-miR-3659-3p	hsa-miR-3659	MI0016060
117_	chr1	miRNA_primary_transcript	41220027.0	41220118.0	+	MI0000749	MI0000749	hsa-mir-30e	hsa-mir-30e	na
118_	chr1	miRNA	41220043.0	41220064.0	+	MIMAT0000692	MIMAT0000692	hsa-miR-30e-5p	hsa-miR-30e-5p	MI0000749
119_	chr1	miRNA	41220085.0	41220106.0	+	MIMAT0000693	MIMAT0000693	hsa-miR-30e-3p	hsa-miR-30e-3p	MI0000749
120_	chr1	miRNA_primary_transcript	41222956.0	41223044.0	+	MI0000736	MI0000736	hsa-mir-30c-1	hsa-mir-30c-1	na
121_	chr1	miRNA	41222972.0	41222994.0	+	MIMAT0000244	MIMAT0000244	hsa-miR-30c-5p	hsa-miR-30c-5p	MI0000736
122_	chr1	miRNA	41223011.0	41223032.0	+	MIMAT0004674	MIMAT0004674	hsa-miR-30c-1-3p	hsa-miR-30c-1-3p	MI0000736
123_	chr1	miRNA_primary_transcript	43637323.0	43637383.0	-	MI0022578	MI0022578	hsa-mir-6733	hsa-mir-6733	na
124_	chr1	miRNA	43637357.0	43637378.0	-	MIMAT0027367	MIMAT0027367	hsa-miR-6733-5p	hsa-miR-6733-5p	MI0022578
125_	chr1	miRNA	43637323.0	43637342.0	-	MIMAT0027368	MIMAT0027368	hsa-miR-6733-3p	hsa-miR-6733-3p	MI0022578
126_	chr1	miRNA_primary_transcript	43830319.0	43830386.0	-	MI0022579	MI0022579	hsa-mir-6734	hsa-mir-6734	na
127_	chr1	miRNA	43830359.0	43830381.0	-	MIMAT0027369	MIMAT0027369	hsa-miR-6734-5p	hsa-miR-6734-5p	MI0022579
128_	chr1	miRNA	43830319.0	43830341.0	-	MIMAT0027370	MIMAT0027370	hsa-miR-6734-3p	hsa-miR-6734-3p	MI0022579
129_	chr1	miRNA_primary_transcript	43914210.0	43914282.0	+	MI0022580	MI0022580	hsa-mir-6735	hsa-mir-6735	na
130_	chr1	miRNA	43914215.0	43914239.0	+	MIMAT0027371	MIMAT0027371	hsa-miR-6735-5p	hsa-miR-6735-5p	MI0022580
131_	chr1	miRNA	43914261.0	43914282.0	+	MIMAT0027372	MIMAT0027372	hsa-miR-6735-3p	hsa-miR-6735-3p	MI0022580
132_	chr1	miRNA_primary_transcript	44304294.0	44304355.0	+	MI0020356	MI0020356	hsa-mir-6079	hsa-mir-6079	na
133_	chr1	miRNA	44304329.0	44304352.0	+	MIMAT0023704	MIMAT0023704	hsa-miR-6079-3p	hsa-miR-6079	MI0020356
134_	chr1	miRNA_primary_transcript	45011165.0	45011224.0	+	MI0019141	MI0019141	hsa-mir-5584	hsa-mir-5584	na
135_	chr1	miRNA	45011165.0	45011186.0	+	MIMAT0022283	MIMAT0022283	hsa-miR-5584-5p	hsa-miR-5584-5p	MI0019141
136_	chr1	miRNA	45011203.0	45011224.0	+	MIMAT0022284	MIMAT0022284	hsa-miR-5584-3p	hsa-miR-5584-3p	MI0019141
137_	chr1	miRNA_primary_transcript	51525509.0	51525577.0	+	MI0016758	MI0016758	hsa-mir-4421	hsa-mir-4421	na
138_	chr1	miRNA	51525551.0	51525572.0	+	MIMAT0018934	MIMAT0018934	hsa-miR-4421-3p	hsa-miR-4421	MI0016758
139_	chr1	miRNA_primary_transcript	51525690.0	51525775.0	+	MI0022211	MI0022211	hsa-mir-6500	hsa-mir-6500	na
140_	chr1	miRNA	51525703.0	51525726.0	+	MIMAT0025454	MIMAT0025454	hsa-miR-6500-5p	hsa-miR-6500-5p	MI0022211
141_	chr1	miRNA	51525744.0	51525764.0	+	MIMAT0025455	MIMAT0025455	hsa-miR-6500-3p	hsa-miR-6500-3p	MI0022211
142_	chr1	miRNA_primary_transcript	52302016.0	52302074.0	-	MI0003941	MI0003941	hsa-mir-761	hsa-mir-761	na
143_	chr1	miRNA	52302047.0	52302068.0	-	MIMAT0010364	MIMAT0010364	hsa-miR-761-5p	hsa-miR-761	MI0003941
144_	chr1	miRNA_primary_transcript	53394346.0	53394444.0	+	MI0018002	MI0018002	hsa-mir-1273f	hsa-mir-1273f	na
145_	chr1	miRNA	53394370.0	53394388.0	+	MIMAT0020601	MIMAT0020601	hsa-miR-1273f-5p	hsa-miR-1273f	MI0018002
146_	chr1	miRNA_primary_transcript	53400602.0	53400689.0	+	MI0018001	MI0018001	hsa-mir-5095	hsa-mir-5095	na
147_	chr1	miRNA	53400608.0	53400628.0	+	MIMAT0020600	MIMAT0020600	hsa-miR-5095-5p	hsa-miR-5095	MI0018001
148_	chr1	miRNA_primary_transcript	53405986.0	53406085.0	+	MI0018003	MI0018003	hsa-mir-1273g	hsa-mir-1273g	na
149_	chr1	miRNA	53406011.0	53406032.0	+	MIMAT0020602	MIMAT0020602	hsa-miR-1273g-5p	hsa-miR-1273g-5p	MI0018003
150_	chr1	miRNA	53406042.0	53406062.0	+	MIMAT0022742	MIMAT0022742	hsa-miR-1273g-3p	hsa-miR-1273g-3p	MI0018003
151_	chr1	miRNA_primary_transcript	54519752.0	54519827.0	+	MI0017426	MI0017426	hsa-mir-4781	hsa-mir-4781	na
152_	chr1	miRNA	54519764.0	54519784.0	+	MIMAT0019942	MIMAT0019942	hsa-miR-4781-5p	hsa-miR-4781-5p	MI0017426
153_	chr1	miRNA	54519797.0	54519818.0	+	MIMAT0019943	MIMAT0019943	hsa-miR-4781-3p	hsa-miR-4781-3p	MI0017426
154_	chr1	miRNA_primary_transcript	55691314.0	55691396.0	+	MI0016759	MI0016759	hsa-mir-4422	hsa-mir-4422	na
155_	chr1	miRNA	55691329.0	55691349.0	+	MIMAT0018935	MIMAT0018935	hsa-miR-4422-5p	hsa-miR-4422	MI0016759
156_	chr1	miRNA_primary_transcript	60198899.0	60198968.0	-	MI0017345	MI0017345	hsa-mir-4711	hsa-mir-4711	na
157_	chr1	miRNA	60198941.0	60198963.0	-	MIMAT0019816	MIMAT0019816	hsa-miR-4711-5p	hsa-miR-4711-5p	MI0017345
158_	chr1	miRNA	60198907.0	60198924.0	-	MIMAT0019817	MIMAT0019817	hsa-miR-4711-3p	hsa-miR-4711-3p	MI0017345
159_	chr1	miRNA_primary_transcript	62544458.0	62544531.0	+	MI0014128	MI0014128	hsa-mir-3116-1	hsa-mir-3116-1	na
160_	chr1	miRNA	62544502.0	62544523.0	+	MIMAT0014978	MIMAT0014978	hsa-miR-3116-3p	hsa-miR-3116	MI0014128
161_	chr1	miRNA_primary_transcript	62544461.0	62544528.0	-	MI0014129	MI0014129	hsa-mir-3116-2	hsa-mir-3116-2	na
162_	chr1	miRNA	62544466.0	62544487.0	-	MIMAT0014978_1	MIMAT0014978	hsa-miR-3116-3p	hsa-miR-3116	MI0014129
163_	chr1	miRNA_primary_transcript	63792596.0	63792655.0	-	MI0020345	MI0020345	hsa-mir-6068	hsa-mir-6068	na
164_	chr1	miRNA	63792635.0	63792655.0	-	MIMAT0023693	MIMAT0023693	hsa-miR-6068-5p	hsa-miR-6068	MI0020345
165_	chr1	miRNA_primary_transcript	65045530.0	65045606.0	+	MI0017441	MI0017441	hsa-mir-4794	hsa-mir-4794	na
166_	chr1	miRNA	65045538.0	65045559.0	+	MIMAT0019967	MIMAT0019967	hsa-miR-4794-5p	hsa-miR-4794	MI0017441
167_	chr1	miRNA_primary_transcript	65523438.0	65523525.0	-	MI0016072	MI0016072	hsa-mir-3671	hsa-mir-3671	na
168_	chr1	miRNA	65523445.0	65523466.0	-	MIMAT0018094	MIMAT0018094	hsa-miR-3671-3p	hsa-miR-3671	MI0016072
169_	chr1	miRNA_primary_transcript	65524117.0	65524191.0	-	MI0000103	MI0000103	hsa-mir-101-1	hsa-mir-101-1	na
170_	chr1	miRNA	65524160.0	65524181.0	-	MIMAT0004513	MIMAT0004513	hsa-miR-101-5p	hsa-miR-101-5p	MI0000103
171_	chr1	miRNA	65524125.0	65524145.0	-	MIMAT0000099	MIMAT0000099	hsa-miR-101-3p	hsa-miR-101-3p	MI0000103
172_	chr1	miRNA_primary_transcript	67094123.0	67094200.0	+	MI0014130	MI0014130	hsa-mir-3117	hsa-mir-3117	na
173_	chr1	miRNA	67094168.0	67094188.0	+	MIMAT0014979	MIMAT0014979	hsa-miR-3117-3p	hsa-miR-3117-3p	MI0014130
174_	chr1	miRNA	67094135.0	67094154.0	+	MIMAT0019197	MIMAT0019197	hsa-miR-3117-5p	hsa-miR-3117-5p	MI0014130
175_	chr1	miRNA_primary_transcript	68649201.0	68649293.0	-	MI0006397	MI0006397	hsa-mir-1262	hsa-mir-1262	na
176_	chr1	miRNA	68649259.0	68649280.0	-	MIMAT0005914	MIMAT0005914	hsa-miR-1262-5p	hsa-miR-1262	MI0006397
177_	chr1	miRNA_primary_transcript	71533314.0	71533399.0	-	MI0000483	MI0000483	hsa-mir-186	hsa-mir-186	na
178_	chr1	miRNA	71533364.0	71533385.0	-	MIMAT0000456	MIMAT0000456	hsa-miR-186-5p	hsa-miR-186-5p	MI0000483
179_	chr1	miRNA	71533325.0	71533346.0	-	MIMAT0004612	MIMAT0004612	hsa-miR-186-3p	hsa-miR-186-3p	MI0000483
180_	chr1	miRNA_primary_transcript	77525828.0	77525887.0	+	MI0023616	MI0023616	hsa-mir-7156	hsa-mir-7156	na
181_	chr1	miRNA	77525828.0	77525850.0	+	MIMAT0028222	MIMAT0028222	hsa-miR-7156-5p	hsa-miR-7156-5p	MI0023616
182_	chr1	miRNA	77525865.0	77525887.0	+	MIMAT0028223	MIMAT0028223	hsa-miR-7156-3p	hsa-miR-7156-3p	MI0023616
183_	chr1	miRNA_primary_transcript	85599477.0	85599556.0	+	MI0016760	MI0016760	hsa-mir-4423	hsa-mir-4423	na
184_	chr1	miRNA	85599489.0	85599510.0	+	MIMAT0019232	MIMAT0019232	hsa-miR-4423-5p	hsa-miR-4423-5p	MI0016760
185_	chr1	miRNA	85599525.0	85599545.0	+	MIMAT0018936	MIMAT0018936	hsa-miR-4423-3p	hsa-miR-4423-3p	MI0016760
186_	chr1	miRNA_primary_transcript	86823315.0	86823370.0	-	MI0025526	MI0025526	hsa-mir-7856	hsa-mir-7856	na
187_	chr1	miRNA	86823348.0	86823368.0	-	MIMAT0030431	MIMAT0030431	hsa-miR-7856-5p	hsa-miR-7856-5p	MI0025526
188_	chr1	miRNA_primary_transcript	94312388.0	94312467.0	+	MI0005567	MI0005567	hsa-mir-760	hsa-mir-760	na
189_	chr1	miRNA	94312436.0	94312455.0	+	MIMAT0004957	MIMAT0004957	hsa-miR-760-3p	hsa-miR-760	MI0005567
190_	chr1	miRNA_primary_transcript	95211416.0	95211456.0	-	MI0016761	MI0016761	hsa-mir-378g	hsa-mir-378g	na
191_	chr1	miRNA	95211436.0	95211455.0	-	MIMAT0018937	MIMAT0018937	hsa-miR-378g-5p	hsa-miR-378g	MI0016761
192_	chr1	miRNA_primary_transcript	98510798.0	98510907.0	-	MI0012063	MI0012063	hsa-mir-2682	hsa-mir-2682	na
193_	chr1	miRNA	98510863.0	98510885.0	-	MIMAT0013517	MIMAT0013517	hsa-miR-2682-5p	hsa-miR-2682-5p	MI0012063
194_	chr1	miRNA	98510827.0	98510848.0	-	MIMAT0013518	MIMAT0013518	hsa-miR-2682-3p	hsa-miR-2682-3p	MI0012063
