order	chromosome	A	type	start	end	B	strand	C	ID
67_	chr1	.	miRNA	20960249	20960268	.	+	.	ID=MIMAT0023709;Alias=MIMAT0023709;Name=hsa-miR-6084;Derives_from=MI0020361
68_	chr1	.	miRNA_primary_transcript	21314807	21314925	.	-	.	ID=MI0006390;Alias=MI0006390;Name=hsa-mir-1256
69_	chr1	.	miRNA	21314870	21314891	.	-	.	ID=MIMAT0005907;Alias=MIMAT0005907;Name=hsa-miR-1256;Derives_from=MI0006390
70_	chr1	.	miRNA_primary_transcript	22592732	22592793	.	+	.	ID=MI0016754;Alias=MI0016754;Name=hsa-mir-4418
71_	chr1	.	miRNA	22592770	22592787	.	+	.	ID=MIMAT0018930;Alias=MIMAT0018930;Name=hsa-miR-4418;Derives_from=MI0016754
72_	chr1	.	miRNA_primary_transcript	22959751	22959859	.	-	.	ID=MI0021271;Alias=MI0021271;Name=hsa-mir-6127
73_	chr1	.	miRNA	22959821	22959839	.	-	.	ID=MIMAT0024610;Alias=MIMAT0024610;Name=hsa-miR-6127;Derives_from=MI0021271
74_	chr1	.	miRNA_primary_transcript	23046010	23046091	.	+	.	ID=MI0017316;Alias=MI0017316;Name=hsa-mir-4684
75_	chr1	.	miRNA	23046023	23046044	.	+	.	ID=MIMAT0019769;Alias=MIMAT0019769;Name=hsa-miR-4684-5p;Derives_from=MI0017316
76_	chr1	.	miRNA	23046059	23046080	.	+	.	ID=MIMAT0019770;Alias=MIMAT0019770;Name=hsa-miR-4684-3p;Derives_from=MI0017316
77_	chr1	.	miRNA_primary_transcript	23189652	23189719	.	-	.	ID=MI0015860;Alias=MI0015860;Name=hsa-mir-4253
78_	chr1	.	miRNA	23189662	23189679	.	-	.	ID=MIMAT0016882;Alias=MIMAT0016882;Name=hsa-miR-4253;Derives_from=MI0015860
79_	chr1	.	miRNA_primary_transcript	23370798	23370865	.	+	.	ID=MI0014127;Alias=MI0014127;Name=hsa-mir-3115
80_	chr1	.	miRNA	23370803	23370822	.	+	.	ID=MIMAT0014977;Alias=MIMAT0014977;Name=hsa-miR-3115;Derives_from=MI0014127
81_	chr1	.	miRNA_primary_transcript	23384351	23384427	.	-	.	ID=MI0016755;Alias=MI0016755;Name=hsa-mir-4419a
82_	chr1	.	miRNA	23384373	23384389	.	-	.	ID=MIMAT0018931;Alias=MIMAT0018931;Name=hsa-miR-4419a;Derives_from=MI0016755
83_	chr1	.	miRNA_primary_transcript	24255560	24255637	.	+	.	ID=MI0016756;Alias=MI0016756;Name=hsa-mir-378f
84_	chr1	.	miRNA	24255611	24255630	.	+	.	ID=MIMAT0018932;Alias=MIMAT0018932;Name=hsa-miR-378f;Derives_from=MI0016756
85_	chr1	.	miRNA_primary_transcript	25245836	25245907	.	-	.	ID=MI0022576;Alias=MI0022576;Name=hsa-mir-6731
86_	chr1	.	miRNA	25245881	25245902	.	-	.	ID=MIMAT0027363;Alias=MIMAT0027363;Name=hsa-miR-6731-5p;Derives_from=MI0022576
87_	chr1	.	miRNA	25245836	25245856	.	-	.	ID=MIMAT0027364;Alias=MIMAT0027364;Name=hsa-miR-6731-3p;Derives_from=MI0022576
88_	chr1	.	miRNA_primary_transcript	25349994	25350077	.	+	.	ID=MI0016764;Alias=MI0016764;Name=hsa-mir-4425
89_	chr1	.	miRNA	25350043	25350064	.	+	.	ID=MIMAT0018940;Alias=MIMAT0018940;Name=hsa-miR-4425;Derives_from=MI0016764
90_	chr1	.	miRNA_primary_transcript	26232853	26232945	.	-	.	ID=MI0016423;Alias=MI0016423;Name=hsa-mir-3917
91_	chr1	.	miRNA	26232875	26232894	.	-	.	ID=MIMAT0018191;Alias=MIMAT0018191;Name=hsa-miR-3917;Derives_from=MI0016423
92_	chr1	.	miRNA_primary_transcript	26881033	26881084	.	+	.	ID=MI0009986;Alias=MI0009986;Name=hsa-mir-1976
93_	chr1	.	miRNA	26881065	26881084	.	+	.	ID=MIMAT0009451;Alias=MIMAT0009451;Name=hsa-miR-1976;Derives_from=MI0009986
94_	chr1	.	miRNA_primary_transcript	31212003	31212079	.	-	.	ID=MI0016757;Alias=MI0016757;Name=hsa-mir-4420
95_	chr1	.	miRNA	31212005	31212026	.	-	.	ID=MIMAT0018933;Alias=MIMAT0018933;Name=hsa-miR-4420;Derives_from=MI0016757
96_	chr1	.	miRNA_primary_transcript	32224261	32224336	.	-	.	ID=MI0015862;Alias=MI0015862;Name=hsa-mir-4254
97_	chr1	.	miRNA	32224271	32224293	.	-	.	ID=MIMAT0016884;Alias=MIMAT0016884;Name=hsa-miR-4254;Derives_from=MI0015862
98_	chr1	.	miRNA_primary_transcript	32552550	32552608	.	+	.	ID=MI0019142;Alias=MI0019142;Name=hsa-mir-5585
99_	chr1	.	miRNA	32552550	32552571	.	+	.	ID=MIMAT0022285;Alias=MIMAT0022285;Name=hsa-miR-5585-5p;Derives_from=MI0019142
100_	chr1	.	miRNA	32552587	32552608	.	+	.	ID=MIMAT0022286;Alias=MIMAT0022286;Name=hsa-miR-5585-3p;Derives_from=MI0019142
101_	chr1	.	miRNA_primary_transcript	33797994	33798093	.	-	.	ID=MI0015995;Alias=MI0015995;Name=hsa-mir-3605
102_	chr1	.	miRNA	33798050	33798072	.	-	.	ID=MIMAT0017981;Alias=MIMAT0017981;Name=hsa-miR-3605-5p;Derives_from=MI0015995
103_	chr1	.	miRNA	33798006	33798028	.	-	.	ID=MIMAT0017982;Alias=MIMAT0017982;Name=hsa-miR-3605-3p;Derives_from=MI0015995
104_	chr1	.	miRNA_primary_transcript	35135200	35135295	.	-	.	ID=MI0003557;Alias=MI0003557;Name=hsa-mir-552
105_	chr1	.	miRNA	35135215	35135235	.	-	.	ID=MIMAT0003215;Alias=MIMAT0003215;Name=hsa-miR-552-3p;Derives_from=MI0003557
106_	chr1	.	miRNA	35135251	35135271	.	-	.	ID=MIMAT0026615;Alias=MIMAT0026615;Name=hsa-miR-552-5p;Derives_from=MI0003557
107_	chr1	.	miRNA_primary_transcript	37627164	37627235	.	+	.	ID=MI0015863;Alias=MI0015863;Name=hsa-mir-4255
108_	chr1	.	miRNA	37627174	37627190	.	+	.	ID=MIMAT0016885;Alias=MIMAT0016885;Name=hsa-miR-4255;Derives_from=MI0015863
109_	chr1	.	miRNA_primary_transcript	37945831	37945890	.	+	.	ID=MI0022577;Alias=MI0022577;Name=hsa-mir-6732
110_	chr1	.	miRNA	37945836	37945855	.	+	.	ID=MIMAT0027365;Alias=MIMAT0027365;Name=hsa-miR-6732-5p;Derives_from=MI0022577
111_	chr1	.	miRNA	37945868	37945890	.	+	.	ID=MIMAT0027366;Alias=MIMAT0027366;Name=hsa-miR-6732-3p;Derives_from=MI0022577
112_	chr1	.	miRNA_primary_transcript	37966536	37966595	.	-	.	ID=MI0019136;Alias=MI0019136;Name=hsa-mir-5581
113_	chr1	.	miRNA	37966574	37966595	.	-	.	ID=MIMAT0022275;Alias=MIMAT0022275;Name=hsa-miR-5581-5p;Derives_from=MI0019136
114_	chr1	.	miRNA	37966536	37966557	.	-	.	ID=MIMAT0022276;Alias=MIMAT0022276;Name=hsa-miR-5581-3p;Derives_from=MI0019136
115_	chr1	.	miRNA_primary_transcript	38554903	38555001	.	+	.	ID=MI0016060;Alias=MI0016060;Name=hsa-mir-3659
116_	chr1	.	miRNA	38554961	38554981	.	+	.	ID=MIMAT0018080;Alias=MIMAT0018080;Name=hsa-miR-3659;Derives_from=MI0016060
117_	chr1	.	miRNA_primary_transcript	41220027	41220118	.	+	.	ID=MI0000749;Alias=MI0000749;Name=hsa-mir-30e
118_	chr1	.	miRNA	41220043	41220064	.	+	.	ID=MIMAT0000692;Alias=MIMAT0000692;Name=hsa-miR-30e-5p;Derives_from=MI0000749
119_	chr1	.	miRNA	41220085	41220106	.	+	.	ID=MIMAT0000693;Alias=MIMAT0000693;Name=hsa-miR-30e-3p;Derives_from=MI0000749
120_	chr1	.	miRNA_primary_transcript	41222956	41223044	.	+	.	ID=MI0000736;Alias=MI0000736;Name=hsa-mir-30c-1
121_	chr1	.	miRNA	41222972	41222994	.	+	.	ID=MIMAT0000244;Alias=MIMAT0000244;Name=hsa-miR-30c-5p;Derives_from=MI0000736
122_	chr1	.	miRNA	41223011	41223032	.	+	.	ID=MIMAT0004674;Alias=MIMAT0004674;Name=hsa-miR-30c-1-3p;Derives_from=MI0000736
123_	chr1	.	miRNA_primary_transcript	43637323	43637383	.	-	.	ID=MI0022578;Alias=MI0022578;Name=hsa-mir-6733
124_	chr1	.	miRNA	43637357	43637378	.	-	.	ID=MIMAT0027367;Alias=MIMAT0027367;Name=hsa-miR-6733-5p;Derives_from=MI0022578
125_	chr1	.	miRNA	43637323	43637342	.	-	.	ID=MIMAT0027368;Alias=MIMAT0027368;Name=hsa-miR-6733-3p;Derives_from=MI0022578
126_	chr1	.	miRNA_primary_transcript	43830319	43830386	.	-	.	ID=MI0022579;Alias=MI0022579;Name=hsa-mir-6734
127_	chr1	.	miRNA	43830359	43830381	.	-	.	ID=MIMAT0027369;Alias=MIMAT0027369;Name=hsa-miR-6734-5p;Derives_from=MI0022579
128_	chr1	.	miRNA	43830319	43830341	.	-	.	ID=MIMAT0027370;Alias=MIMAT0027370;Name=hsa-miR-6734-3p;Derives_from=MI0022579
129_	chr1	.	miRNA_primary_transcript	43914210	43914282	.	+	.	ID=MI0022580;Alias=MI0022580;Name=hsa-mir-6735
130_	chr1	.	miRNA	43914215	43914239	.	+	.	ID=MIMAT0027371;Alias=MIMAT0027371;Name=hsa-miR-6735-5p;Derives_from=MI0022580
131_	chr1	.	miRNA	43914261	43914282	.	+	.	ID=MIMAT0027372;Alias=MIMAT0027372;Name=hsa-miR-6735-3p;Derives_from=MI0022580
132_	chr1	.	miRNA_primary_transcript	44304294	44304355	.	+	.	ID=MI0020356;Alias=MI0020356;Name=hsa-mir-6079
133_	chr1	.	miRNA	44304329	44304352	.	+	.	ID=MIMAT0023704;Alias=MIMAT0023704;Name=hsa-miR-6079;Derives_from=MI0020356
134_	chr1	.	miRNA_primary_transcript	45011165	45011224	.	+	.	ID=MI0019141;Alias=MI0019141;Name=hsa-mir-5584
135_	chr1	.	miRNA	45011165	45011186	.	+	.	ID=MIMAT0022283;Alias=MIMAT0022283;Name=hsa-miR-5584-5p;Derives_from=MI0019141
136_	chr1	.	miRNA	45011203	45011224	.	+	.	ID=MIMAT0022284;Alias=MIMAT0022284;Name=hsa-miR-5584-3p;Derives_from=MI0019141
137_	chr1	.	miRNA_primary_transcript	51525509	51525577	.	+	.	ID=MI0016758;Alias=MI0016758;Name=hsa-mir-4421
138_	chr1	.	miRNA	51525551	51525572	.	+	.	ID=MIMAT0018934;Alias=MIMAT0018934;Name=hsa-miR-4421;Derives_from=MI0016758
139_	chr1	.	miRNA_primary_transcript	51525690	51525775	.	+	.	ID=MI0022211;Alias=MI0022211;Name=hsa-mir-6500
140_	chr1	.	miRNA	51525703	51525726	.	+	.	ID=MIMAT0025454;Alias=MIMAT0025454;Name=hsa-miR-6500-5p;Derives_from=MI0022211
141_	chr1	.	miRNA	51525744	51525764	.	+	.	ID=MIMAT0025455;Alias=MIMAT0025455;Name=hsa-miR-6500-3p;Derives_from=MI0022211
142_	chr1	.	miRNA_primary_transcript	52302016	52302074	.	-	.	ID=MI0003941;Alias=MI0003941;Name=hsa-mir-761
143_	chr1	.	miRNA	52302047	52302068	.	-	.	ID=MIMAT0010364;Alias=MIMAT0010364;Name=hsa-miR-761;Derives_from=MI0003941
144_	chr1	.	miRNA_primary_transcript	53394346	53394444	.	+	.	ID=MI0018002;Alias=MI0018002;Name=hsa-mir-1273f
145_	chr1	.	miRNA	53394370	53394388	.	+	.	ID=MIMAT0020601;Alias=MIMAT0020601;Name=hsa-miR-1273f;Derives_from=MI0018002
146_	chr1	.	miRNA_primary_transcript	53400602	53400689	.	+	.	ID=MI0018001;Alias=MI0018001;Name=hsa-mir-5095
147_	chr1	.	miRNA	53400608	53400628	.	+	.	ID=MIMAT0020600;Alias=MIMAT0020600;Name=hsa-miR-5095;Derives_from=MI0018001
148_	chr1	.	miRNA_primary_transcript	53405986	53406085	.	+	.	ID=MI0018003;Alias=MI0018003;Name=hsa-mir-1273g
149_	chr1	.	miRNA	53406011	53406032	.	+	.	ID=MIMAT0020602;Alias=MIMAT0020602;Name=hsa-miR-1273g-5p;Derives_from=MI0018003
150_	chr1	.	miRNA	53406042	53406062	.	+	.	ID=MIMAT0022742;Alias=MIMAT0022742;Name=hsa-miR-1273g-3p;Derives_from=MI0018003
151_	chr1	.	miRNA_primary_transcript	54519752	54519827	.	+	.	ID=MI0017426;Alias=MI0017426;Name=hsa-mir-4781
152_	chr1	.	miRNA	54519764	54519784	.	+	.	ID=MIMAT0019942;Alias=MIMAT0019942;Name=hsa-miR-4781-5p;Derives_from=MI0017426
153_	chr1	.	miRNA	54519797	54519818	.	+	.	ID=MIMAT0019943;Alias=MIMAT0019943;Name=hsa-miR-4781-3p;Derives_from=MI0017426
154_	chr1	.	miRNA_primary_transcript	55691314	55691396	.	+	.	ID=MI0016759;Alias=MI0016759;Name=hsa-mir-4422
155_	chr1	.	miRNA	55691329	55691349	.	+	.	ID=MIMAT0018935;Alias=MIMAT0018935;Name=hsa-miR-4422;Derives_from=MI0016759
156_	chr1	.	miRNA_primary_transcript	60198899	60198968	.	-	.	ID=MI0017345;Alias=MI0017345;Name=hsa-mir-4711
157_	chr1	.	miRNA	60198941	60198963	.	-	.	ID=MIMAT0019816;Alias=MIMAT0019816;Name=hsa-miR-4711-5p;Derives_from=MI0017345
158_	chr1	.	miRNA	60198907	60198924	.	-	.	ID=MIMAT0019817;Alias=MIMAT0019817;Name=hsa-miR-4711-3p;Derives_from=MI0017345
159_	chr1	.	miRNA_primary_transcript	62544458	62544531	.	+	.	ID=MI0014128;Alias=MI0014128;Name=hsa-mir-3116-1
160_	chr1	.	miRNA	62544502	62544523	.	+	.	ID=MIMAT0014978;Alias=MIMAT0014978;Name=hsa-miR-3116;Derives_from=MI0014128
161_	chr1	.	miRNA_primary_transcript	62544461	62544528	.	-	.	ID=MI0014129;Alias=MI0014129;Name=hsa-mir-3116-2
162_	chr1	.	miRNA	62544466	62544487	.	-	.	ID=MIMAT0014978_1;Alias=MIMAT0014978;Name=hsa-miR-3116;Derives_from=MI0014129
163_	chr1	.	miRNA_primary_transcript	63792596	63792655	.	-	.	ID=MI0020345;Alias=MI0020345;Name=hsa-mir-6068
164_	chr1	.	miRNA	63792635	63792655	.	-	.	ID=MIMAT0023693;Alias=MIMAT0023693;Name=hsa-miR-6068;Derives_from=MI0020345
165_	chr1	.	miRNA_primary_transcript	65045530	65045606	.	+	.	ID=MI0017441;Alias=MI0017441;Name=hsa-mir-4794
166_	chr1	.	miRNA	65045538	65045559	.	+	.	ID=MIMAT0019967;Alias=MIMAT0019967;Name=hsa-miR-4794;Derives_from=MI0017441
167_	chr1	.	miRNA_primary_transcript	65523438	65523525	.	-	.	ID=MI0016072;Alias=MI0016072;Name=hsa-mir-3671
168_	chr1	.	miRNA	65523445	65523466	.	-	.	ID=MIMAT0018094;Alias=MIMAT0018094;Name=hsa-miR-3671;Derives_from=MI0016072
169_	chr1	.	miRNA_primary_transcript	65524117	65524191	.	-	.	ID=MI0000103;Alias=MI0000103;Name=hsa-mir-101-1
170_	chr1	.	miRNA	65524160	65524181	.	-	.	ID=MIMAT0004513;Alias=MIMAT0004513;Name=hsa-miR-101-5p;Derives_from=MI0000103
171_	chr1	.	miRNA	65524125	65524145	.	-	.	ID=MIMAT0000099;Alias=MIMAT0000099;Name=hsa-miR-101-3p;Derives_from=MI0000103
172_	chr1	.	miRNA_primary_transcript	67094123	67094200	.	+	.	ID=MI0014130;Alias=MI0014130;Name=hsa-mir-3117
173_	chr1	.	miRNA	67094168	67094188	.	+	.	ID=MIMAT0014979;Alias=MIMAT0014979;Name=hsa-miR-3117-3p;Derives_from=MI0014130
174_	chr1	.	miRNA	67094135	67094154	.	+	.	ID=MIMAT0019197;Alias=MIMAT0019197;Name=hsa-miR-3117-5p;Derives_from=MI0014130
175_	chr1	.	miRNA_primary_transcript	68649201	68649293	.	-	.	ID=MI0006397;Alias=MI0006397;Name=hsa-mir-1262
176_	chr1	.	miRNA	68649259	68649280	.	-	.	ID=MIMAT0005914;Alias=MIMAT0005914;Name=hsa-miR-1262;Derives_from=MI0006397
177_	chr1	.	miRNA_primary_transcript	71533314	71533399	.	-	.	ID=MI0000483;Alias=MI0000483;Name=hsa-mir-186
178_	chr1	.	miRNA	71533364	71533385	.	-	.	ID=MIMAT0000456;Alias=MIMAT0000456;Name=hsa-miR-186-5p;Derives_from=MI0000483
179_	chr1	.	miRNA	71533325	71533346	.	-	.	ID=MIMAT0004612;Alias=MIMAT0004612;Name=hsa-miR-186-3p;Derives_from=MI0000483
180_	chr1	.	miRNA_primary_transcript	77525828	77525887	.	+	.	ID=MI0023616;Alias=MI0023616;Name=hsa-mir-7156
181_	chr1	.	miRNA	77525828	77525850	.	+	.	ID=MIMAT0028222;Alias=MIMAT0028222;Name=hsa-miR-7156-5p;Derives_from=MI0023616
182_	chr1	.	miRNA	77525865	77525887	.	+	.	ID=MIMAT0028223;Alias=MIMAT0028223;Name=hsa-miR-7156-3p;Derives_from=MI0023616
183_	chr1	.	miRNA_primary_transcript	85599477	85599556	.	+	.	ID=MI0016760;Alias=MI0016760;Name=hsa-mir-4423
184_	chr1	.	miRNA	85599489	85599510	.	+	.	ID=MIMAT0019232;Alias=MIMAT0019232;Name=hsa-miR-4423-5p;Derives_from=MI0016760
185_	chr1	.	miRNA	85599525	85599545	.	+	.	ID=MIMAT0018936;Alias=MIMAT0018936;Name=hsa-miR-4423-3p;Derives_from=MI0016760
186_	chr1	.	miRNA_primary_transcript	86823315	86823370	.	-	.	ID=MI0025526;Alias=MI0025526;Name=hsa-mir-7856
