order	chromosome	type	start	end	strand	ID	accession_number	Name_hsaV20	Name	derives_from
24_	chr1	miRNA	9211794.0	9211815.0	-	MIMAT0000255_1	MIMAT0000255	hsa-miR-34a-5p	hsa-miR-34a-5p	MI0000268_1
25_	chr1	miRNA	9211752.0	9211773.0	-	MIMAT0004557_1	MIMAT0004557	hsa-miR-34a-3p	hsa-miR-34a-3p	MI0000268_1
26_	chr1	miRNA_primary_transcript	10027439.0	10027516.0	+	MI0019304_1	MI0019304	hsa-mir-5697	hsa-mir-5697	na
27_	chr1	miRNA	10027448.0	10027469.0	+	MIMAT0022490_1	MIMAT0022490	hsa-miR-5697-5p	hsa-miR-5697	MI0019304_1
28_	chr1	miRNA_primary_transcript	10287776.0	10287861.0	+	MI0014254_1	MI0014254	hsa-mir-1273d	hsa-mir-1273d	na
29_	chr1	miRNA	10287785.0	10287809.0	+	MIMAT0015090_1	MIMAT0015090	hsa-miR-1273d-5p	hsa-miR-1273d	MI0014254_1
30_	chr1	miRNA_primary_transcript	12251770.0	12251830.0	+	MI0017259_1	MI0017259	hsa-mir-4632	hsa-mir-4632	na
31_	chr1	miRNA	12251809.0	12251830.0	+	MIMAT0019688_1	MIMAT0019688	hsa-miR-4632-3p	hsa-miR-4632-3p	MI0017259_1
32_	chr1	miRNA	12251770.0	12251792.0	+	MIMAT0022977_1	MIMAT0022977	hsa-miR-4632-5p	hsa-miR-4632-5p	MI0017259_1
33_	chr1	miRNA_primary_transcript	17185444.0	17185516.0	-	MI0016076_1	MI0016076	hsa-mir-3675	hsa-mir-3675	na
34_	chr1	miRNA	17185483.0	17185505.0	-	MIMAT0018098_1	MIMAT0018098	hsa-miR-3675-5p	hsa-miR-3675-5p	MI0016076_1
35_	chr1	miRNA	17185453.0	17185474.0	-	MIMAT0018099_1	MIMAT0018099	hsa-miR-3675-3p	hsa-miR-3675-3p	MI0016076_1
36_	chr1	miRNA_primary_transcript	17604384.0	17604470.0	+	MI0016990_1	MI0016990	hsa-mir-3972	hsa-mir-3972	na
37_	chr1	miRNA	17604443.0	17604464.0	+	MIMAT0019357_1	MIMAT0019357	hsa-miR-3972-3p	hsa-miR-3972	MI0016990_1
38_	chr1	miRNA_primary_transcript	19209696.0	19209769.0	-	MI0017328_1	MI0017328	hsa-mir-4695	hsa-mir-4695	na
39_	chr1	miRNA	19209744.0	19209765.0	-	MIMAT0019788_1	MIMAT0019788	hsa-miR-4695-5p	hsa-miR-4695-5p	MI0017328_1
40_	chr1	miRNA	19209698.0	19209719.0	-	MIMAT0019789_1	MIMAT0019789	hsa-miR-4695-3p	hsa-miR-4695-3p	MI0017328_1
41_	chr1	miRNA_primary_transcript	19223565.0	19223642.0	-	MI0006352_1	MI0006352	hsa-mir-1290	hsa-mir-1290	na
42_	chr1	miRNA	19223572.0	19223590.0	-	MIMAT0005880_1	MIMAT0005880	hsa-miR-1290-3p	hsa-miR-1290	MI0006352_1
43_	chr1	miRNA_primary_transcript	20960172.0	20960281.0	+	MI0020361_1	MI0020361	hsa-mir-6084	hsa-mir-6084	na
44_	chr1	miRNA	20960249.0	20960268.0	+	MIMAT0023709_1	MIMAT0023709	hsa-miR-6084-3p	hsa-miR-6084	MI0020361_1
45_	chr1	miRNA_primary_transcript	21314807.0	21314925.0	-	MI0006390_1	MI0006390	hsa-mir-1256	hsa-mir-1256	na
46_	chr1	miRNA	21314870.0	21314891.0	-	MIMAT0005907_1	MIMAT0005907	hsa-miR-1256-5p	hsa-miR-1256	MI0006390_1
47_	chr1	miRNA_primary_transcript	22592732.0	22592793.0	+	MI0016754_1	MI0016754	hsa-mir-4418	hsa-mir-4418	na
48_	chr1	miRNA	22592770.0	22592787.0	+	MIMAT0018930_1	MIMAT0018930	hsa-miR-4418-3p	hsa-miR-4418	MI0016754_1
49_	chr1	miRNA_primary_transcript	22959751.0	22959859.0	-	MI0021271_1	MI0021271	hsa-mir-6127	hsa-mir-6127	na
50_	chr1	miRNA	22959821.0	22959839.0	-	MIMAT0024610_1	MIMAT0024610	hsa-miR-6127-5p	hsa-miR-6127	MI0021271_1
51_	chr1	miRNA_primary_transcript	23046010.0	23046091.0	+	MI0017316_1	MI0017316	hsa-mir-4684	hsa-mir-4684	na
52_	chr1	miRNA	23046023.0	23046044.0	+	MIMAT0019769_1	MIMAT0019769	hsa-miR-4684-5p	hsa-miR-4684-5p	MI0017316_1
53_	chr1	miRNA	23046059.0	23046080.0	+	MIMAT0019770_1	MIMAT0019770	hsa-miR-4684-3p	hsa-miR-4684-3p	MI0017316_1
54_	chr1	miRNA_primary_transcript	23189652.0	23189719.0	-	MI0015860_1	MI0015860	hsa-mir-4253	hsa-mir-4253	na
55_	chr1	miRNA	23189662.0	23189679.0	-	MIMAT0016882_1	MIMAT0016882	hsa-miR-4253-3p	hsa-miR-4253	MI0015860_1
56_	chr1	miRNA_primary_transcript	23370798.0	23370865.0	+	MI0014127_1	MI0014127	hsa-mir-3115	hsa-mir-3115	na
57_	chr1	miRNA	23370803.0	23370822.0	+	MIMAT0014977_1	MIMAT0014977	hsa-miR-3115-5p	hsa-miR-3115	MI0014127_1
58_	chr1	miRNA_primary_transcript	23384351.0	23384427.0	-	MI0016755_1	MI0016755	hsa-mir-4419a	hsa-mir-4419a	na
59_	chr1	miRNA	23384373.0	23384389.0	-	MIMAT0018931_1	MIMAT0018931	hsa-miR-4419a	hsa-miR-4419a	MI0016755_1
60_	chr1	miRNA_primary_transcript	24255560.0	24255637.0	+	MI0016756_1	MI0016756	hsa-mir-378f	hsa-mir-378f	na
61_	chr1	miRNA	24255611.0	24255630.0	+	MIMAT0018932_1	MIMAT0018932	hsa-miR-378f-3p	hsa-miR-378f	MI0016756_1
62_	chr1	miRNA_primary_transcript	25349994.0	25350077.0	+	MI0016764_1	MI0016764	hsa-mir-4425	hsa-mir-4425	na
63_	chr1	miRNA	25350043.0	25350064.0	+	MIMAT0018940_1	MIMAT0018940	hsa-miR-4425-3p	hsa-miR-4425	MI0016764_1
64_	chr1	miRNA_primary_transcript	26232853.0	26232945.0	-	MI0016423_1	MI0016423	hsa-mir-3917	hsa-mir-3917	na
65_	chr1	miRNA	26232875.0	26232894.0	-	MIMAT0018191_1	MIMAT0018191	hsa-miR-3917-3p	hsa-miR-3917	MI0016423_1
66_	chr1	miRNA_primary_transcript	26881033.0	26881084.0	+	MI0009986_1	MI0009986	hsa-mir-1976	hsa-mir-1976	na
67_	chr1	miRNA	26881065.0	26881084.0	+	MIMAT0009451_1	MIMAT0009451	hsa-miR-1976-3p	hsa-miR-1976	MI0009986_1
68_	chr1	miRNA_primary_transcript	31212003.0	31212079.0	-	MI0016757_1	MI0016757	hsa-mir-4420	hsa-mir-4420	na
69_	chr1	miRNA	31212005.0	31212026.0	-	MIMAT0018933_1	MIMAT0018933	hsa-miR-4420-3p	hsa-miR-4420	MI0016757_1
70_	chr1	miRNA_primary_transcript	32224261.0	32224336.0	-	MI0015862_1	MI0015862	hsa-mir-4254	hsa-mir-4254	na
71_	chr1	miRNA	32224271.0	32224293.0	-	MIMAT0016884_1	MIMAT0016884	hsa-miR-4254-3p	hsa-miR-4254	MI0015862_1
72_	chr1	miRNA_primary_transcript	32552550.0	32552608.0	+	MI0019142_1	MI0019142	hsa-mir-5585	hsa-mir-5585	na
73_	chr1	miRNA	32552550.0	32552571.0	+	MIMAT0022285_1	MIMAT0022285	hsa-miR-5585-5p	hsa-miR-5585-5p	MI0019142_1
74_	chr1	miRNA	32552587.0	32552608.0	+	MIMAT0022286_1	MIMAT0022286	hsa-miR-5585-3p	hsa-miR-5585-3p	MI0019142_1
75_	chr1	miRNA_primary_transcript	33797994.0	33798093.0	-	MI0015995_1	MI0015995	hsa-mir-3605	hsa-mir-3605	na
76_	chr1	miRNA	33798050.0	33798072.0	-	MIMAT0017981_1	MIMAT0017981	hsa-miR-3605-5p	hsa-miR-3605-5p	MI0015995_1
77_	chr1	miRNA	33798006.0	33798028.0	-	MIMAT0017982_1	MIMAT0017982	hsa-miR-3605-3p	hsa-miR-3605-3p	MI0015995_1
78_	chr1	miRNA_primary_transcript	35135200.0	35135295.0	-	MI0003557_1	MI0003557	hsa-mir-552	hsa-mir-552	na
79_	chr1	miRNA	35135215.0	35135235.0	-	MIMAT0003215_1	MIMAT0003215	hsa-miR-552-3p	hsa-miR-552	MI0003557_1
80_	chr1	miRNA_primary_transcript	37627164.0	37627235.0	+	MI0015863_1	MI0015863	hsa-mir-4255	hsa-mir-4255	na
81_	chr1	miRNA	37627174.0	37627190.0	+	MIMAT0016885_1	MIMAT0016885	hsa-miR-4255-5p	hsa-miR-4255	MI0015863_1
82_	chr1	miRNA_primary_transcript	37966536.0	37966595.0	-	MI0019136_1	MI0019136	hsa-mir-5581	hsa-mir-5581	na
83_	chr1	miRNA	37966574.0	37966595.0	-	MIMAT0022275_1	MIMAT0022275	hsa-miR-5581-5p	hsa-miR-5581-5p	MI0019136_1
84_	chr1	miRNA	37966536.0	37966557.0	-	MIMAT0022276_1	MIMAT0022276	hsa-miR-5581-3p	hsa-miR-5581-3p	MI0019136_1
85_	chr1	miRNA_primary_transcript	38554903.0	38555001.0	+	MI0016060_1	MI0016060	hsa-mir-3659	hsa-mir-3659	na
86_	chr1	miRNA	38554961.0	38554981.0	+	MIMAT0018080_1	MIMAT0018080	hsa-miR-3659-3p	hsa-miR-3659	MI0016060_1
87_	chr1	miRNA_primary_transcript	41220027.0	41220118.0	+	MI0000749_1	MI0000749	hsa-mir-30e	hsa-mir-30e	na
88_	chr1	miRNA	41220043.0	41220064.0	+	MIMAT0000692_1	MIMAT0000692	hsa-miR-30e-5p	hsa-miR-30e-5p	MI0000749_1
89_	chr1	miRNA	41220085.0	41220106.0	+	MIMAT0000693_1	MIMAT0000693	hsa-miR-30e-3p	hsa-miR-30e-3p	MI0000749_1
90_	chr1	miRNA_primary_transcript	41222956.0	41223044.0	+	MI0000736_1	MI0000736	hsa-mir-30c-1	hsa-mir-30c-1	na
91_	chr1	miRNA	41222972.0	41222994.0	+	MIMAT0000244_1	MIMAT0000244	hsa-miR-30c-5p	hsa-miR-30c-5p	MI0000736_1
92_	chr1	miRNA	41223011.0	41223032.0	+	MIMAT0004674_1	MIMAT0004674	hsa-miR-30c-1-3p	hsa-miR-30c-1-3p	MI0000736_1
93_	chr1	miRNA_primary_transcript	44304294.0	44304355.0	+	MI0020356_1	MI0020356	hsa-mir-6079	hsa-mir-6079	na
94_	chr1	miRNA	44304329.0	44304352.0	+	MIMAT0023704_1	MIMAT0023704	hsa-miR-6079-3p	hsa-miR-6079	MI0020356_1
95_	chr1	miRNA_primary_transcript	45011165.0	45011224.0	+	MI0019141_1	MI0019141	hsa-mir-5584	hsa-mir-5584	na
96_	chr1	miRNA	45011165.0	45011186.0	+	MIMAT0022283_1	MIMAT0022283	hsa-miR-5584-5p	hsa-miR-5584-5p	MI0019141_1
97_	chr1	miRNA	45011203.0	45011224.0	+	MIMAT0022284_1	MIMAT0022284	hsa-miR-5584-3p	hsa-miR-5584-3p	MI0019141_1
98_	chr1	miRNA_primary_transcript	51525509.0	51525577.0	+	MI0016758_1	MI0016758	hsa-mir-4421	hsa-mir-4421	na
99_	chr1	miRNA	51525551.0	51525572.0	+	MIMAT0018934_1	MIMAT0018934	hsa-miR-4421-3p	hsa-miR-4421	MI0016758_1
100_	chr1	miRNA_primary_transcript	51525690.0	51525775.0	+	MI0022211_1	MI0022211	hsa-mir-6500	hsa-mir-6500	na
101_	chr1	miRNA	51525703.0	51525726.0	+	MIMAT0025454_1	MIMAT0025454	hsa-miR-6500-5p	hsa-miR-6500-5p	MI0022211_1
102_	chr1	miRNA	51525744.0	51525764.0	+	MIMAT0025455_1	MIMAT0025455	hsa-miR-6500-3p	hsa-miR-6500-3p	MI0022211_1
103_	chr1	miRNA_primary_transcript	52302016.0	52302074.0	-	MI0003941_1	MI0003941	hsa-mir-761	hsa-mir-761	na
104_	chr1	miRNA	52302047.0	52302068.0	-	MIMAT0010364_1	MIMAT0010364	hsa-miR-761-5p	hsa-miR-761	MI0003941_1
105_	chr1	miRNA_primary_transcript	53394346.0	53394444.0	+	MI0018002_1	MI0018002	hsa-mir-1273f	hsa-mir-1273f	na
106_	chr1	miRNA	53394370.0	53394388.0	+	MIMAT0020601_1	MIMAT0020601	hsa-miR-1273f-5p	hsa-miR-1273f	MI0018002_1
107_	chr1	miRNA_primary_transcript	53400602.0	53400689.0	+	MI0018001_1	MI0018001	hsa-mir-5095	hsa-mir-5095	na
108_	chr1	miRNA	53400608.0	53400628.0	+	MIMAT0020600_1	MIMAT0020600	hsa-miR-5095-5p	hsa-miR-5095	MI0018001_1
109_	chr1	miRNA_primary_transcript	53405986.0	53406085.0	+	MI0018003_1	MI0018003	hsa-mir-1273g	hsa-mir-1273g	na
110_	chr1	miRNA	53406011.0	53406032.0	+	MIMAT0020602_1	MIMAT0020602	hsa-miR-1273g-5p	hsa-miR-1273g-5p	MI0018003_1
111_	chr1	miRNA	53406042.0	53406062.0	+	MIMAT0022742_1	MIMAT0022742	hsa-miR-1273g-3p	hsa-miR-1273g-3p	MI0018003_1
112_	chr1	miRNA_primary_transcript	54519752.0	54519827.0	+	MI0017426_1	MI0017426	hsa-mir-4781	hsa-mir-4781	na
113_	chr1	miRNA	54519764.0	54519784.0	+	MIMAT0019942_1	MIMAT0019942	hsa-miR-4781-5p	hsa-miR-4781-5p	MI0017426_1
114_	chr1	miRNA	54519797.0	54519818.0	+	MIMAT0019943_1	MIMAT0019943	hsa-miR-4781-3p	hsa-miR-4781-3p	MI0017426_1
115_	chr1	miRNA_primary_transcript	55691314.0	55691396.0	+	MI0016759_1	MI0016759	hsa-mir-4422	hsa-mir-4422	na
116_	chr1	miRNA	55691329.0	55691349.0	+	MIMAT0018935_1	MIMAT0018935	hsa-miR-4422-5p	hsa-miR-4422	MI0016759_1
117_	chr1	miRNA_primary_transcript	60198899.0	60198968.0	-	MI0017345_1	MI0017345	hsa-mir-4711	hsa-mir-4711	na
118_	chr1	miRNA	60198941.0	60198963.0	-	MIMAT0019816_1	MIMAT0019816	hsa-miR-4711-5p	hsa-miR-4711-5p	MI0017345_1
119_	chr1	miRNA	60198907.0	60198924.0	-	MIMAT0019817_1	MIMAT0019817	hsa-miR-4711-3p	hsa-miR-4711-3p	MI0017345_1
120_	chr1	miRNA_primary_transcript	62544458.0	62544531.0	+	MI0014128_1	MI0014128	hsa-mir-3116-1	hsa-mir-3116-1	na
121_	chr1	miRNA	62544502.0	62544523.0	+	MIMAT0014978_1	MIMAT0014978	hsa-miR-3116-3p	hsa-miR-3116	MI0014128_1
122_	chr1	miRNA_primary_transcript	62544461.0	62544528.0	-	MI0014129_1	MI0014129	hsa-mir-3116-2	hsa-mir-3116-2	na
123_	chr1	miRNA	62544466.0	62544487.0	-	MIMAT0014978_2	MIMAT0014978	hsa-miR-3116-3p	hsa-miR-3116	MI0014129_1
124_	chr1	miRNA_primary_transcript	63792596.0	63792655.0	-	MI0020345_1	MI0020345	hsa-mir-6068	hsa-mir-6068	na
125_	chr1	miRNA	63792635.0	63792655.0	-	MIMAT0023693_1	MIMAT0023693	hsa-miR-6068-5p	hsa-miR-6068	MI0020345_1
126_	chr1	miRNA_primary_transcript	65045530.0	65045606.0	+	MI0017441_1	MI0017441	hsa-mir-4794	hsa-mir-4794	na
127_	chr1	miRNA	65045538.0	65045559.0	+	MIMAT0019967_1	MIMAT0019967	hsa-miR-4794-5p	hsa-miR-4794	MI0017441_1
128_	chr1	miRNA_primary_transcript	65523438.0	65523525.0	-	MI0016072_1	MI0016072	hsa-mir-3671	hsa-mir-3671	na
129_	chr1	miRNA	65523445.0	65523466.0	-	MIMAT0018094_1	MIMAT0018094	hsa-miR-3671-3p	hsa-miR-3671	MI0016072_1
130_	chr1	miRNA_primary_transcript	65524117.0	65524191.0	-	MI0000103_1	MI0000103	hsa-mir-101-1	hsa-mir-101-1	na
131_	chr1	miRNA	65524160.0	65524181.0	-	MIMAT0004513_1	MIMAT0004513	hsa-miR-101-5p	hsa-miR-101-5p	MI0000103_1
132_	chr1	miRNA	65524125.0	65524145.0	-	MIMAT0000099_1	MIMAT0000099	hsa-miR-101-3p	hsa-miR-101-3p	MI0000103_1
133_	chr1	miRNA_primary_transcript	67094123.0	67094200.0	+	MI0014130_1	MI0014130	hsa-mir-3117	hsa-mir-3117	na
134_	chr1	miRNA	67094168.0	67094188.0	+	MIMAT0014979_1	MIMAT0014979	hsa-miR-3117-3p	hsa-miR-3117-3p	MI0014130_1
135_	chr1	miRNA	67094135.0	67094154.0	+	MIMAT0019197_1	MIMAT0019197	hsa-miR-3117-5p	hsa-miR-3117-5p	MI0014130_1
136_	chr1	miRNA_primary_transcript	68649201.0	68649293.0	-	MI0006397_1	MI0006397	hsa-mir-1262	hsa-mir-1262	na
137_	chr1	miRNA	68649259.0	68649280.0	-	MIMAT0005914_1	MIMAT0005914	hsa-miR-1262-5p	hsa-miR-1262	MI0006397_1
138_	chr1	miRNA_primary_transcript	71533314.0	71533399.0	-	MI0000483_1	MI0000483	hsa-mir-186	hsa-mir-186	na
139_	chr1	miRNA	71533364.0	71533385.0	-	MIMAT0000456_1	MIMAT0000456	hsa-miR-186-5p	hsa-miR-186-5p	MI0000483_1
140_	chr1	miRNA	71533325.0	71533346.0	-	MIMAT0004612_1	MIMAT0004612	hsa-miR-186-3p	hsa-miR-186-3p	MI0000483_1
141_	chr1	miRNA_primary_transcript	85599477.0	85599556.0	+	MI0016760_1	MI0016760	hsa-mir-4423	hsa-mir-4423	na
142_	chr1	miRNA	85599489.0	85599510.0	+	MIMAT0019232_1	MIMAT0019232	hsa-miR-4423-5p	hsa-miR-4423-5p	MI0016760_1
143_	chr1	miRNA	85599525.0	85599545.0	+	MIMAT0018936_1	MIMAT0018936	hsa-miR-4423-3p	hsa-miR-4423-3p	MI0016760_1
144_	chr1	miRNA_primary_transcript	94312388.0	94312467.0	+	MI0005567_1	MI0005567	hsa-mir-760	hsa-mir-760	na
145_	chr1	miRNA	94312436.0	94312455.0	+	MIMAT0004957_1	MIMAT0004957	hsa-miR-760-3p	hsa-miR-760	MI0005567_1
146_	chr1	miRNA_primary_transcript	95211416.0	95211456.0	-	MI0016761_1	MI0016761	hsa-mir-378g	hsa-mir-378g	na
147_	chr1	miRNA	95211436.0	95211455.0	-	MIMAT0018937_1	MIMAT0018937	hsa-miR-378g-5p	hsa-miR-378g	MI0016761_1
148_	chr1	miRNA_primary_transcript	98510798.0	98510907.0	-	MI0012063_1	MI0012063	hsa-mir-2682	hsa-mir-2682	na
149_	chr1	miRNA	98510863.0	98510885.0	-	MIMAT0013517_1	MIMAT0013517	hsa-miR-2682-5p	hsa-miR-2682-5p	MI0012063_1
150_	chr1	miRNA	98510827.0	98510848.0	-	MIMAT0013518_1	MIMAT0013518	hsa-miR-2682-3p	hsa-miR-2682-3p	MI0012063_1
151_	chr1	miRNA_primary_transcript	98511626.0	98511727.0	-	MI0000454_1	MI0000454	hsa-mir-137	hsa-mir-137	na
152_	chr1	miRNA	98511647.0	98511669.0	-	MIMAT0000429_1	MIMAT0000429	hsa-miR-137-3p	hsa-miR-137	MI0000454_1
153_	chr1	miRNA_primary_transcript	100746797.0	100746864.0	+	MI0003558_1	MI0003558	hsa-mir-553	hsa-mir-553	na
154_	chr1	miRNA	100746812.0	100746832.0	+	MIMAT0003216_1	MIMAT0003216	hsa-miR-553-5p	hsa-miR-553	MI0003558_1
155_	chr1	miRNA_primary_transcript	110141515.0	110141589.0	+	MI0000239_1	MI0000239	hsa-mir-197	hsa-mir-197	na
156_	chr1	miRNA	110141562.0	110141583.0	+	MIMAT0000227_1	MIMAT0000227	hsa-miR-197-3p	hsa-miR-197-3p	MI0000239_1
157_	chr1	miRNA	110141523.0	110141545.0	+	MIMAT0022691_1	MIMAT0022691	hsa-miR-197-5p	hsa-miR-197-5p	MI0000239_1
158_	chr1	miRNA_primary_transcript	113004392.0	113004455.0	-	MI0015855_1	MI0015855	hsa-mir-4256	hsa-mir-4256	na
159_	chr1	miRNA	113004428.0	113004445.0	-	MIMAT0016877_1	MIMAT0016877	hsa-miR-4256-5p	hsa-miR-4256	MI0015855_1
160_	chr1	miRNA_primary_transcript	117102646.0	117102733.0	-	MI0016762_1	MI0016762	hsa-mir-548ac	hsa-mir-548ac	na
161_	chr1	miRNA	117102660.0	117102681.0	-	MIMAT0018938_1	MIMAT0018938	hsa-miR-548ac-3p	hsa-miR-548ac	MI0016762_1
162_	chr1	miRNA_primary_transcript	117214371.0	117214449.0	+	MI0003776_1	MI0003776	hsa-mir-320b-1	hsa-mir-320b-1	na
163_	chr1	miRNA	117214409.0	117214430.0	+	MIMAT0005792_1	MIMAT0005792	hsa-miR-320b-3p	hsa-miR-320b	MI0003776_1
164_	chr1	miRNA_primary_transcript	117637265.0	117637350.0	+	MI0005767_1	MI0005767	hsa-mir-942	hsa-mir-942	na
165_	chr1	miRNA	117637277.0	117637298.0	+	MIMAT0004985_1	MIMAT0004985	hsa-miR-942-5p	hsa-miR-942	MI0005767_1
166_	chr1	miRNA_primary_transcript	142667289.0	142667363.0	+	MI0014131_1	MI0014131	hsa-mir-3118-1	hsa-mir-3118-1	na
167_	chr1	miRNA	142667332.0	142667354.0	+	MIMAT0014980_1	MIMAT0014980	hsa-miR-3118-3p	hsa-miR-3118	MI0014131_1
168_	chr1	miRNA_primary_transcript	143163750.0	143163822.0	+	MI0014132_1	MI0014132	hsa-mir-3118-2	hsa-mir-3118-2	na
169_	chr1	miRNA	143163792.0	143163814.0	+	MIMAT0014980_2	MIMAT0014980	hsa-miR-3118-3p	hsa-miR-3118	MI0014132_1
170_	chr1	miRNA_primary_transcript	143424141.0	143424215.0	-	MI0014133_1	MI0014133	hsa-mir-3118-3	hsa-mir-3118-3	na
171_	chr1	miRNA	143424150.0	143424172.0	-	MIMAT0014980_3	MIMAT0014980	hsa-miR-3118-3p	hsa-miR-3118	MI0014133_1
172_	chr1	miRNA_primary_transcript	143672921.0	143673002.0	+	MI0020354_1	MI0020354	hsa-mir-6077-1	hsa-mir-6077-1	na
173_	chr1	miRNA	143672933.0	143672953.0	+	MIMAT0023702_1	MIMAT0023702	hsa-miR-6077-5p	hsa-miR-6077	MI0020354_1
174_	chr1	miRNA_primary_transcript	147806603.0	147806678.0	-	MI0017976_1	MI0017976	hsa-mir-5087	hsa-mir-5087	na
175_	chr1	miRNA	147806646.0	147806668.0	-	MIMAT0021079_1	MIMAT0021079	hsa-miR-5087-5p	hsa-miR-5087	MI0017976_1
176_	chr1	miRNA_primary_transcript	147860434.0	147860515.0	+	MI0023562_1	MI0023562	hsa-mir-6077-2	hsa-mir-6077-2	na
177_	chr1	miRNA	147860446.0	147860466.0	+	MIMAT0023702_2	MIMAT0023702	hsa-miR-6077-5p	hsa-miR-6077	MI0023562_1
178_	chr1	miRNA_primary_transcript	150524405.0	150524490.0	+	MI0015856_1	MI0015856	hsa-mir-4257	hsa-mir-4257	na
179_	chr1	miRNA	150524463.0	150524480.0	+	MIMAT0016878_1	MIMAT0016878	hsa-miR-4257-3p	hsa-miR-4257	MI0015856_1
180_	chr1	miRNA_primary_transcript	151518272.0	151518367.0	+	MI0003559_1	MI0003559	hsa-mir-554	hsa-mir-554	na
181_	chr1	miRNA	151518287.0	151518307.0	+	MIMAT0003217_1	MIMAT0003217	hsa-miR-554-5p	hsa-miR-554	MI0003559_1
182_	chr1	miRNA_primary_transcript	154076997.0	154077068.0	-	MI0019305_1	MI0019305	hsa-mir-5698	hsa-mir-5698	na
183_	chr1	miRNA	154077038.0	154077059.0	-	MIMAT0022491_1	MIMAT0022491	hsa-miR-5698-5p	hsa-miR-5698	MI0019305_1
184_	chr1	miRNA_primary_transcript	154166141.0	154166219.0	-	MI0005545_1	MI0005545	hsa-mir-190b	hsa-mir-190b	na
185_	chr1	miRNA	154166189.0	154166209.0	-	MIMAT0004929_1	MIMAT0004929	hsa-miR-190b-5p	hsa-miR-190b	MI0005545_1
186_	chr1	miRNA_primary_transcript	154948169.0	154948259.0	+	MI0015857_1	MI0015857	hsa-mir-4258	hsa-mir-4258	na
187_	chr1	miRNA	154948179.0	154948195.0	+	MIMAT0016879_1	MIMAT0016879	hsa-miR-4258-5p	hsa-miR-4258	MI0015857_1
